sex,_len,_wfl_l,_wfl_m,_wfl_s
1,47.13,-0.352100015,2.79760015,0.090572
1,47.14,-0.352100015,2.799300107,0.090566
1,47.15,-0.352100015,2.801000064,0.09056
1,47.16,-0.352100015,2.802700021,0.090554
1,47.17,-0.352100015,2.804399978,0.090548001
1,47.18,-0.352100015,2.806099935,0.090542001
1,47.19,-0.352100015,2.807799892,0.090536001
1,47.2,-0.352100015,2.809499849,0.090530001
1,47.21,-0.352100015,2.811209884,0.090524001
1,47.22,-0.352100015,2.81291992,0.090518001
1,47.23,-0.352100015,2.814629956,0.090512001
1,47.24,-0.352100015,2.816339991,0.090506001
1,47.25,-0.352100015,2.818050027,0.090500001
1,47.26,-0.352100015,2.819760063,0.090494001
1,47.27,-0.352100015,2.821470098,0.090488001
1,47.28,-0.352100015,2.823180134,0.090482001
1,47.29,-0.352100015,2.82489017,0.090476001
1,47.3,-0.352100015,2.826600205,0.090470001
1,47.31,-0.352100015,2.828310152,0.090465001
1,47.32,-0.352100015,2.830020098,0.090460001
1,47.33,-0.352100015,2.831730045,0.090455001
1,47.34,-0.352100015,2.833439992,0.090450001
1,47.35,-0.352100015,2.835149938,0.090445001
1,47.36,-0.352100015,2.836859885,0.090440001
1,47.37,-0.352100015,2.838569831,0.090435001
1,47.38,-0.352100015,2.840279778,0.090430001
1,47.39,-0.352100015,2.841989725,0.090425001
1,47.4,-0.352100015,2.843699671,0.090420001
1,47.41,-0.352100015,2.845419695,0.090414001
1,47.42,-0.352100015,2.847139721,0.090408001
1,47.43,-0.352100015,2.848859746,0.090402001
1,47.44,-0.352100015,2.850579772,0.090396001
1,47.45,-0.352100015,2.852299797,0.090390001
1,47.46,-0.352100015,2.854019823,0.090384001
1,47.47,-0.352100015,2.855739849,0.090378001
1,47.48,-0.352100015,2.857459874,0.090372001
1,47.49,-0.352100015,2.8591799,0.090366001
1,47.5,-0.352100015,2.860899925,0.090360001
1,47.51,-0.352100015,2.862629965,0.090354001
1,47.52,-0.352100015,2.864360004,0.090348001
1,47.53,-0.352100015,2.866090043,0.090342001
1,47.54,-0.352100015,2.867820082,0.090336001
1,47.55,-0.352100015,2.869550122,0.090330001
1,47.56,-0.352100015,2.871280161,0.090324001
1,47.57,-0.352100015,2.8730102,0.090318
1,47.58,-0.352100015,2.87474024,0.090312
1,47.59,-0.352100015,2.876470279,0.090306
1,47.6,-0.352100015,2.878200318,0.0903
1,47.61,-0.352100015,2.879930268,0.090294001
1,47.62,-0.352100015,2.881660217,0.090288001
1,47.63,-0.352100015,2.883390167,0.090282001
1,47.64,-0.352100015,2.885120116,0.090276001
1,47.65,-0.352100015,2.886850065,0.090270001
1,47.66,-0.352100015,2.888580015,0.090264001
1,47.67,-0.352100015,2.890309964,0.090258002
1,47.68,-0.352100015,2.892039914,0.090252002
1,47.69,-0.352100015,2.893769863,0.090246002
1,47.7,-0.352100015,2.895499813,0.090240002
1,47.71,-0.352100015,2.897239841,0.090234002
1,47.72,-0.352100015,2.89897987,0.090228002
1,47.73,-0.352100015,2.9007199,0.090222002
1,47.74,-0.352100015,2.902459929,0.090216002
1,47.75,-0.352100015,2.904199958,0.090210002
1,47.76,-0.352100015,2.905939987,0.090204002
1,47.77,-0.352100015,2.907680016,0.090198002
1,47.78,-0.352100015,2.909420045,0.090192002
1,47.79,-0.352100015,2.911160075,0.090186002
1,47.8,-0.352100015,2.912900105,0.090180002
1,47.81,-0.352100015,2.914650057,0.090174002
1,47.82,-0.352100015,2.916400009,0.090168002
1,47.83,-0.352100015,2.918149962,0.090162002
1,47.84,-0.352100015,2.919899914,0.090156002
1,47.85,-0.352100015,2.921649866,0.090150003
1,47.86,-0.352100015,2.923399818,0.090144003
1,47.87,-0.352100015,2.925149771,0.090138003
1,47.88,-0.352100015,2.926899723,0.090132003
1,47.89,-0.352100015,2.928649675,0.090126003
1,47.9,-0.352100015,2.930399628,0.090120004
1,47.91,-0.352100015,2.932159659,0.090115003
1,47.92,-0.352100015,2.933919692,0.090110003
1,47.93,-0.352100015,2.935679725,0.090105003
1,47.94,-0.352100015,2.937439757,0.090100003
1,47.95,-0.352100015,2.93919979,0.090095003
1,47.96,-0.352100015,2.940959823,0.090090002
1,47.97,-0.352100015,2.942719856,0.090085002
1,47.98,-0.352100015,2.944479889,0.090080002
1,47.99,-0.352100015,2.946239921,0.090075002
1,48,-0.352100015,2.947999954,0.090070002
1,48.01,-0.352100015,2.949769977,0.090064002
1,48.02,-0.352100015,2.95154,0.090058002
1,48.03,-0.352100015,2.953310022,0.090052002
1,48.04,-0.352100015,2.955080045,0.090046002
1,48.05,-0.352100015,2.956850068,0.090040002
1,48.06,-0.352100015,2.95862009,0.090034002
1,48.07,-0.352100015,2.960390113,0.090028002
1,48.08,-0.352100015,2.962160136,0.090022001
1,48.09,-0.352100015,2.963930159,0.090016001
1,48.1,-0.352100015,2.965700183,0.090010001
1,48.11,-0.352100015,2.967480151,0.090004002
1,48.12,-0.352100015,2.96926012,0.089998002
1,48.13,-0.352100015,2.971040088,0.089992002
1,48.14,-0.352100015,2.972820057,0.089986002
1,48.15,-0.352100015,2.974600025,0.089980002
1,48.16,-0.352100015,2.976379994,0.089974002
1,48.17,-0.352100015,2.978159962,0.089968003
1,48.18,-0.352100015,2.979939931,0.089962003
1,48.19,-0.352100015,2.9817199,0.089956003
1,48.2,-0.352100015,2.983499868,0.089950003
1,48.21,-0.352100015,2.985289894,0.089944003
1,48.22,-0.352100015,2.98707992,0.089938003
1,48.23,-0.352100015,2.988869946,0.089932003
1,48.24,-0.352100015,2.990659973,0.089926003
1,48.25,-0.352100015,2.992449999,0.089920003
1,48.26,-0.352100015,2.994240025,0.089914003
1,48.27,-0.352100015,2.996030052,0.089908003
1,48.28,-0.352100015,2.997820078,0.089902003
1,48.29,-0.352100015,2.999610104,0.089896003
1,48.3,-0.352100015,3.001400132,0.089890003
1,48.31,-0.352100015,3.003210093,0.089884003
1,48.32,-0.352100015,3.005020054,0.089878003
1,48.33,-0.352100015,3.006830015,0.089872003
1,48.34,-0.352100015,3.008639976,0.089866004
1,48.35,-0.352100015,3.010449937,0.089860004
1,48.36,-0.352100015,3.012259897,0.089854004
1,48.37,-0.352100015,3.014069858,0.089848004
1,48.38,-0.352100015,3.015879819,0.089842004
1,48.39,-0.352100015,3.01768978,0.089836004
1,48.4,-0.352100015,3.019499741,0.089830005
1,48.41,-0.352100015,3.021319759,0.089824004
1,48.42,-0.352100015,3.023139779,0.089818003
1,48.43,-0.352100015,3.024959799,0.089812002
1,48.44,-0.352100015,3.026779819,0.089806001
1,48.45,-0.352100015,3.028599839,0.089800001
1,48.46,-0.352100015,3.030419859,0.089794
1,48.47,-0.352100015,3.032239878,0.089787999
1,48.48,-0.352100015,3.034059898,0.089781998
1,48.49,-0.352100015,3.035879918,0.089775998
1,48.5,-0.352100015,3.037699938,0.089769997
1,48.51,-0.352100015,3.039529971,0.089764997
1,48.52,-0.352100015,3.041360005,0.089759998
1,48.53,-0.352100015,3.043190039,0.089754999
1,48.54,-0.352100015,3.045020072,0.089749999
1,48.55,-0.352100015,3.046850106,0.089745
1,48.56,-0.352100015,3.048680139,0.08974
1,48.57,-0.352100015,3.050510173,0.089735001
1,48.58,-0.352100015,3.052340206,0.089730001
1,48.59,-0.352100015,3.05417024,0.089725002
1,48.6,-0.352100015,3.056000277,0.089720002
1,48.61,-0.352100015,3.057850243,0.089714002
1,48.62,-0.352100015,3.05970021,0.089708001
1,48.63,-0.352100015,3.061550176,0.089702001
1,48.64,-0.352100015,3.063400143,0.089696
1,48.65,-0.352100015,3.06525011,0.08969
1,48.66,-0.352100015,3.067100076,0.089683999
1,48.67,-0.352100015,3.068950043,0.089677999
1,48.68,-0.352100015,3.07080001,0.089671998
1,48.69,-0.352100015,3.072649976,0.089665997
1,48.7,-0.352100015,3.074499943,0.089659997
1,48.71,-0.352100015,3.076359969,0.089653997
1,48.72,-0.352100015,3.078219996,0.089647997
1,48.73,-0.352100015,3.080080023,0.089641997
1,48.74,-0.352100015,3.08194005,0.089635997
1,48.75,-0.352100015,3.083800077,0.089629997
1,48.76,-0.352100015,3.085660105,0.089623997
1,48.77,-0.352100015,3.087520132,0.089617997
1,48.78,-0.352100015,3.089380159,0.089611996
1,48.79,-0.352100015,3.091240186,0.089605996
1,48.8,-0.352100015,3.093100214,0.089599996
1,48.81,-0.352100015,3.094980173,0.089593997
1,48.82,-0.352100015,3.096860132,0.089587997
1,48.83,-0.352100015,3.098740091,0.089581997
1,48.84,-0.352100015,3.10062005,0.089575997
1,48.85,-0.352100015,3.102500009,0.089569997
1,48.86,-0.352100015,3.104379968,0.089563998
1,48.87,-0.352100015,3.106259927,0.089557998
1,48.88,-0.352100015,3.108139886,0.089551998
1,48.89,-0.352100015,3.110019845,0.089545998
1,48.9,-0.352100015,3.111899804,0.089539998
1,48.91,-0.352100015,3.113789823,0.089533998
1,48.92,-0.352100015,3.115679844,0.089527998
1,48.93,-0.352100015,3.117569865,0.089521998
1,48.94,-0.352100015,3.119459885,0.089515998
1,48.95,-0.352100015,3.121349906,0.089509998
1,48.96,-0.352100015,3.123239926,0.089503998
1,48.97,-0.352100015,3.125129947,0.089497998
1,48.98,-0.352100015,3.127019968,0.089491998
1,48.99,-0.352100015,3.128909988,0.089485998
1,49,-0.352100015,3.130800009,0.089479998
1,49.01,-0.352100015,3.132710033,0.089474998
1,49.02,-0.352100015,3.134620057,0.089469997
1,49.03,-0.352100015,3.136530081,0.089464997
1,49.04,-0.352100015,3.138440106,0.089459997
1,49.05,-0.352100015,3.14035013,0.089454997
1,49.06,-0.352100015,3.142260154,0.089449997
1,49.07,-0.352100015,3.144170178,0.089444997
1,49.08,-0.352100015,3.146080203,0.089439997
1,49.09,-0.352100015,3.147990227,0.089434996
1,49.1,-0.352100015,3.149900253,0.089429996
1,49.11,-0.352100015,3.151820217,0.089423996
1,49.12,-0.352100015,3.153740182,0.089417996
1,49.13,-0.352100015,3.155660147,0.089411997
1,49.14,-0.352100015,3.157580111,0.089405997
1,49.15,-0.352100015,3.159500076,0.089399997
1,49.16,-0.352100015,3.161420041,0.089393997
1,49.17,-0.352100015,3.163340006,0.089387997
1,49.18,-0.352100015,3.16525997,0.089381998
1,49.19,-0.352100015,3.167179935,0.089375998
1,49.2,-0.352100015,3.1690999,0.089369998
1,49.21,-0.352100015,3.171029927,0.089363998
1,49.22,-0.352100015,3.172959955,0.089357998
1,49.23,-0.352100015,3.174889983,0.089351998
1,49.24,-0.352100015,3.17682001,0.089345998
1,49.25,-0.352100015,3.178750038,0.089339998
1,49.26,-0.352100015,3.180680066,0.089333998
1,49.27,-0.352100015,3.182610094,0.089327998
1,49.28,-0.352100015,3.184540122,0.089321998
1,49.29,-0.352100015,3.18647015,0.089315997
1,49.3,-0.352100015,3.188400179,0.089309997
1,49.31,-0.352100015,3.190350136,0.089303998
1,49.32,-0.352100015,3.192300093,0.089297998
1,49.33,-0.352100015,3.19425005,0.089291998
1,49.34,-0.352100015,3.196200007,0.089285998
1,49.35,-0.352100015,3.198149964,0.089279998
1,49.36,-0.352100015,3.200099921,0.089273999
1,49.37,-0.352100015,3.202049879,0.089267999
1,49.38,-0.352100015,3.203999836,0.089261999
1,49.39,-0.352100015,3.205949793,0.089255999
1,49.4,-0.352100015,3.20789975,0.089249999
1,49.41,-0.352100015,3.209869782,0.089243999
1,49.42,-0.352100015,3.211839817,0.089237999
1,49.43,-0.352100015,3.213809852,0.089231999
1,49.44,-0.352100015,3.215779887,0.089225999
1,49.45,-0.352100015,3.217749922,0.089219999
1,49.46,-0.352100015,3.219719957,0.089213999
1,49.47,-0.352100015,3.221689992,0.089207999
1,49.48,-0.352100015,3.223660028,0.089201999
1,49.49,-0.352100015,3.225630063,0.089195999
1,49.5,-0.352100015,3.227600098,0.089189999
1,49.51,-0.352100015,3.229570109,0.089183999
1,49.52,-0.352100015,3.23154012,0.089177999
1,49.53,-0.352100015,3.233510131,0.089171999
1,49.54,-0.352100015,3.235480143,0.089165999
1,49.55,-0.352100015,3.237450154,0.089159999
1,49.56,-0.352100015,3.239420165,0.089153999
1,49.57,-0.352100015,3.241390176,0.089147999
1,49.58,-0.352100015,3.243360188,0.089141999
1,49.59,-0.352100015,3.245330199,0.089135998
1,49.6,-0.352100015,3.247300213,0.089129999
1,49.61,-0.352100015,3.249290176,0.089124999
1,49.62,-0.352100015,3.251280139,0.089119999
1,49.63,-0.352100015,3.253270102,0.089114999
1,49.64,-0.352100015,3.255260065,0.089109999
1,49.65,-0.352100015,3.257250027,0.089104999
1,49.66,-0.352100015,3.25923999,0.089099999
1,49.67,-0.352100015,3.261229953,0.089094999
1,49.68,-0.352100015,3.263219916,0.089089999
1,49.69,-0.352100015,3.265209879,0.089084999
1,49.7,-0.352100015,3.267199841,0.089079999
1,49.71,-0.352100015,3.269209882,0.089073999
1,49.72,-0.352100015,3.271219925,0.089067999
1,49.73,-0.352100015,3.273229967,0.089061999
1,49.74,-0.352100015,3.275240009,0.089055999
1,49.75,-0.352100015,3.277250052,0.089049999
1,49.76,-0.352100015,3.279260094,0.089043999
1,49.77,-0.352100015,3.281270136,0.089037999
1,49.78,-0.352100015,3.283280179,0.089031999
1,49.79,-0.352100015,3.285290221,0.089025999
1,49.8,-0.352100015,3.287300264,0.089019999
1,49.81,-0.352100015,3.289320195,0.089013999
1,49.82,-0.352100015,3.291340127,0.089007999
1,49.83,-0.352100015,3.293360058,0.089001999
1,49.84,-0.352100015,3.295379989,0.088995999
1,49.85,-0.352100015,3.297399921,0.088989999
1,49.86,-0.352100015,3.299419852,0.088984
1,49.87,-0.352100015,3.301439783,0.088978
1,49.88,-0.352100015,3.303459715,0.088972
1,49.89,-0.352100015,3.305479646,0.088966
1,49.9,-0.352100015,3.307499577,0.08896
1,49.91,-0.352100015,3.309529622,0.088954
1,49.92,-0.352100015,3.311559668,0.088948
1,49.93,-0.352100015,3.313589714,0.088942
1,49.94,-0.352100015,3.31561976,0.088936
1,49.95,-0.352100015,3.317649806,0.08893
1,49.96,-0.352100015,3.319679852,0.088924
1,49.97,-0.352100015,3.321709898,0.088918
1,49.98,-0.352100015,3.323739944,0.088912
1,49.99,-0.352100015,3.32576999,0.088906
1,50,-0.352100015,3.327800036,0.0889
1,50.01,-0.352100015,3.329840071,0.088894
1,50.02,-0.352100015,3.331880107,0.088888
1,50.03,-0.352100015,3.333920143,0.088882
1,50.04,-0.352100015,3.335960179,0.088876
1,50.05,-0.352100015,3.338000215,0.08887
1,50.06,-0.352100015,3.340040251,0.088864
1,50.07,-0.352100015,3.342080287,0.088858
1,50.08,-0.352100015,3.344120322,0.088852
1,50.09,-0.352100015,3.346160358,0.088846
1,50.1,-0.352100015,3.348200397,0.088839999
1,50.11,-0.352100015,3.350260334,0.088834
1,50.12,-0.352100015,3.352320271,0.088828
1,50.13,-0.352100015,3.354380208,0.088822
1,50.14,-0.352100015,3.356440145,0.088816
1,50.15,-0.352100015,3.358500082,0.08881
1,50.16,-0.352100015,3.36056002,0.088804001
1,50.17,-0.352100015,3.362619957,0.088798001
1,50.18,-0.352100015,3.364679894,0.088792001
1,50.19,-0.352100015,3.366739831,0.088786001
1,50.2,-0.352100015,3.368799768,0.088780001
1,50.21,-0.352100015,3.370859807,0.088774001
1,50.22,-0.352100015,3.372919847,0.088768001
1,50.23,-0.352100015,3.374979886,0.088762001
1,50.24,-0.352100015,3.377039926,0.088756001
1,50.25,-0.352100015,3.379099965,0.088750001
1,50.26,-0.352100015,3.381160005,0.088744001
1,50.27,-0.352100015,3.383220044,0.088738001
1,50.28,-0.352100015,3.385280084,0.088732001
1,50.29,-0.352100015,3.387340123,0.088726001
1,50.3,-0.352100015,3.389400164,0.088720001
1,50.31,-0.352100015,3.391480128,0.088715001
1,50.32,-0.352100015,3.393560092,0.088710001
1,50.33,-0.352100015,3.395640055,0.088705001
1,50.34,-0.352100015,3.397720019,0.088700001
1,50.35,-0.352100015,3.399799983,0.088695001
1,50.36,-0.352100015,3.401879947,0.088690001
1,50.37,-0.352100015,3.40395991,0.088685001
1,50.38,-0.352100015,3.406039874,0.088680001
1,50.39,-0.352100015,3.408119838,0.088675001
1,50.4,-0.352100015,3.410199802,0.088670001
1,50.41,-0.352100015,3.412289809,0.088664001
1,50.42,-0.352100015,3.414379818,0.088658001
1,50.43,-0.352100015,3.416469828,0.088652001
1,50.44,-0.352100015,3.418559837,0.088646001
1,50.45,-0.352100015,3.420649846,0.088640001
1,50.46,-0.352100015,3.422739855,0.088634001
1,50.47,-0.352100015,3.424829864,0.088628001
1,50.48,-0.352100015,3.426919873,0.088622001
1,50.49,-0.352100015,3.429009883,0.088616001
1,50.5,-0.352100015,3.431099892,0.088610001
1,50.51,-0.352100015,3.433209928,0.088604001
1,50.52,-0.352100015,3.435319965,0.088598001
1,50.53,-0.352100015,3.437430002,0.088592001
1,50.54,-0.352100015,3.439540038,0.088586001
1,50.55,-0.352100015,3.441650075,0.088580001
1,50.56,-0.352100015,3.443760111,0.088574001
1,50.57,-0.352100015,3.445870148,0.088568001
